Scale_1,Scale_2,Region_Name,Season_Name,Metrics,Sens_Slope,P_Value,Change_Point_Year,Change_Point_pvalue
Global,All,None,None,Cumulative_Intensity,0.665266765,1.44E-10,2005,9.87E-06
Global,All,None,None,Maximum_Intensity,0.024602628,1.13E-08,2006,1.13E-05
Global,All,None,None,Duration,0.256843196,4.85E-07,2004,2.56E-05
Global,All,None,None,Number_Events,1081.62069,4.77E-09,1997,6.48E-06
Global,Region,Arctic,None,Cumulative_Intensity,1.059997455,8.94E-11,2006,1.13E-05
Global,Region,Arctic,None,Maximum_Intensity,0.039785075,5.98E-08,2006,1.13E-05
Global,Region,Arctic,None,Duration,0.440873884,4.82E-06,2004,2.56E-05
Global,Region,Arctic,None,Number_Events,284.9459459,1.08E-04,2001,2.48E-04
Global,Region,Central Indo-Pacific,None,Cumulative_Intensity,0.157759013,2.12E-06,2004,8.23E-05
Global,Region,Central Indo-Pacific,None,Maximum_Intensity,-0.003448829,3.43E-04,2002,0.00150916
Global,Region,Central Indo-Pacific,None,Duration,0.136323671,7.83E-08,2004,1.96E-05
Global,Region,Central Indo-Pacific,None,Number_Events,150.7857143,3.52E-05,1997,1.95E-04
Global,Region,Eastern Indo-Pacific,None,Cumulative_Intensity,0.256488071,1.33E-05,2007,2.20E-04
Global,Region,Eastern Indo-Pacific,None,Maximum_Intensity,-0.003387266,0.005814073,2009,0.025836547
Global,Region,Eastern Indo-Pacific,None,Duration,0.24823187,1.17E-07,2006,26
Global,Region,Eastern Indo-Pacific,None,Number_Events,22.27586207,7.61E-06,2001,3.14E-04
Global,Region,Southern Ocean,None,Cumulative_Intensity,0.167323485,8.03E-05,2008,2.48E-04
Global,Region,Southern Ocean,None,Maximum_Intensity,0.010804544,2.68E-06,2008,3.54E-04
Global,Region,Southern Ocean,None,Duration,0.059620988,0.07339973,2009,0.00823341
Global,Region,Southern Ocean,None,Number_Events,-94.16666667,1.33E-07,2004,1.49E-05
Global,Region,Temperate Australasia,None,Cumulative_Intensity,0.33509974,5.34E-05,2007,1.95E-04
Global,Region,Temperate Australasia,None,Maximum_Intensity,0.006143965,0.03530386,2007,0.001864501
Global,Region,Temperate Australasia,None,Duration,0.19427786,5.34E-05,2008,5.00E-04
Global,Region,Temperate Australasia,None,Number_Events,34.81818182,4.29E-06,1997,7.25E-05
Global,Region,Temperate Northern Atlantic,None,Cumulative_Intensity,0.458700128,1.33E-07,2005,1.95E-04
Global,Region,Temperate Northern Atlantic,None,Maximum_Intensity,0.008404722,2.59E-04,2005,2.79E-04
Global,Region,Temperate Northern Atlantic,None,Duration,0.234074223,5.98E-08,2005,1.95E-04
Global,Region,Temperate Northern Atlantic,None,Number_Events,276.25,6.91E-12,2000,20
Global,Region,Temperate Northern Pacific,None,Cumulative_Intensity,0.506374098,1.50E-08,1996,8.23E-05
Global,Region,Temperate Northern Pacific,None,Maximum_Intensity,0.01610777,6.06E-06,2006,1.49E-05
Global,Region,Temperate Northern Pacific,None,Duration,0.179883616,1.66E-06,1994,14
Global,Region,Temperate Northern Pacific,None,Number_Events,157.8,3.02E-08,2002,1.95E-04
Global,Region,Temperate South America,None,Cumulative_Intensity,0.249142165,0.007242014,2006,0.038711212
Global,Region,Temperate South America,None,Maximum_Intensity,0.007758109,0.037464848,2006,0.00823341
Global,Region,Temperate South America,None,Duration,0.094211616,0.010331357,2012,0.038711212
Global,Region,Temperate South America,None,Number_Events,14.11764706,0.03530386,2011,0.204875294
Global,Region,Temperate Southern Africa,None,Cumulative_Intensity,0.102887586,0.059145247,1991,21
Global,Region,Temperate Southern Africa,None,Maximum_Intensity,0.004918867,0.020200676,2007,0.041872541
Global,Region,Temperate Southern Africa,None,Duration,0.042998236,0.069596033,1991,0.377751206
Global,Region,Temperate Southern Africa,None,Number_Events,2.64,0.002579873,1998,0.002819065
