Scale,Region_Name,Season_Name,Metrics,Sens_Slope,P_Value,Change_Point_Year,Change_Point_pvalue,lm_slope,Sens_Slope_pre,P_Value_pre,Sens_Slope_post,P_Value_post,Trend_Decadal,Trend_Decadal_lm,Trend_Decadal_pre,Trend_Decadal_post
All,None,None,Number_MHW_days,1.16984824,6.87E-08,2001,6.55E-05,1.473572858,0.138821355,0.58125476,2.887405094,1.26E-04,11.6984824,14.73572858,1.388213549,28.87405094
All,None,None,Nevents,0.074394561,4.65E-08,2001,4.52E-05,0.072440935,0.02111227,0.144292055,0.099390408,0.002794388,0.743945613,0.724409355,0.2111227,0.993904081
All,None,None,Mean_Intensity,0.008755603,2.45E-07,1996,2.55E-05,0.008792561,-7.98E-04,0.7665253,0.007869741,0.006273132,0.087556028,0.087925608,-0.007984432,0.078697412
All,None,None,Maximum_Intensity,0.015352239,1.91E-07,2004,25,0.014657579,0.008420101,0.11305102,0.016292965,0.033909076,0.153522385,0.146575785,0.08420101,0.162929647
All,None,None,Cumulative_Intensity,1.972093969,2.62E-09,2001,5.12E-05,2.260177663,0.554568067,0.085514806,4.054707068,4.57E-05,19.72093969,22.60177663,5.545680675,40.54707068
Season,None,Summer,Number_MHW_days,0.315007736,1.39E-08,2002,6.16E-05,0.343534147,0.084633895,0.065473358,0.617718101,6.58E-04,3.150077361,3.435341468,0.846338952,6.177181006
Season,None,Summer,Nevents,0.020291405,2.09E-08,2001,5.12E-05,0.01946706,0.007314733,0.074352905,0.027946101,0.001869082,0.202914049,0.194670605,0.073147335,0.279461011
Season,None,Summer,Mean_Intensity,0.011242273,3.74E-06,2003,6.55E-05,0.010400793,0.004108635,0.429795272,0.009892116,0.107542829,0.112422732,0.104007926,0.041086347,0.098921157
Season,None,Summer,Maximum_Intensity,0.019476486,1.89E-06,2003,7.41E-05,0.0181395,0.004426802,0.498564387,0.025293026,0.020940934,0.194764859,0.181394997,0.044268017,0.252930261
Season,None,Summer,Cumulative_Intensity,0.703374064,5.31E-09,2002,4.81E-05,0.722096942,0.170416904,0.085210083,1.37918432,1.13E-04,7.033740642,7.220969418,1.704169039,13.7918432
Season,None,Autumn,Number_MHW_days,0.371479506,4.01E-09,2001,1.25E-05,0.449313625,0.062996616,0.229969078,0.89129692,2.58E-04,3.71479506,4.493136254,0.629966155,8.9129692
Season,None,Autumn,Nevents,0.022375036,1.83E-08,2000,4.24E-05,0.021459581,0.005222876,0.29391717,0.033521307,3.07E-04,0.223750359,0.214595813,0.05222876,0.335213069
Season,None,Autumn,Mean_Intensity,0.008344056,5.22E-06,2005,8.37E-05,0.007917315,0.004928184,0.096533829,0.001220254,0.836819705,0.083440565,0.079173154,0.049281842,0.012202543
Season,None,Autumn,Maximum_Intensity,0.015242369,4.02E-07,2004,5.45E-05,0.014378175,0.007020594,0.139144175,0.015151717,0.040815848,0.152423687,0.143781755,0.070205938,0.151517167
Season,None,Autumn,Cumulative_Intensity,0.590127993,9.55E-10,2002,1.33E-05,0.713108528,0.164612299,0.037197694,1.368147119,4.06E-04,5.901279928,7.13108528,1.646122992,13.68147119
Season,None,Winter,Number_MHW_days,0.265594785,1.91E-07,2004,2.90E-05,0.388080275,0.052543278,0.342,0.948820238,0.0040,2.656,3.880802752,0.525,9.488
Season,None,Winter,Nevents,0.019169455,4.54E-07,2001,5.12E-05,0.018083305,0.002175656,0.626,0.024767539,0.0041,0.192,0.180833047,0.022,0.248
Season,None,Winter,Mean_Intensity,0.008480642,6.87E-08,1996,1.02E-05,0.008883543,0.002261141,0.621,0.006874186,0.0136,0.085,0.088835432,0.023,0.069
Season,None,Winter,Maximum_Intensity,0.013499542,5.30E-08,1996,1.17E-05,0.013573002,9.74E-04,0.843,0.012415344,0.0063,0.135,0.135730017,0.010,0.124
Season,None,Winter,Cumulative_Intensity,0.348240574,6.10E-09,1996,1.97E-05,0.445294806,-0.090181454,0.428,0.584644801,0.0000,3.482,4.452948061,-0.902,5.846
Season,None,Spring,Number_MHW_days,0.227549776,2.16E-07,2001,9.45E-05,0.29264481,0.024008692,0.381,0.588969933,0.0015,2.275,2.926448102,0.240,5.890
Season,None,Spring,Nevents,0.014793863,3.14E-07,1996,6.97E-05,0.013430989,-0.005963873,0.235,0.017302796,0.0008,0.148,0.134309891,-0.060,0.173
Season,None,Spring,Mean_Intensity,0.008154738,5.12E-07,2006,2.55E-05,0.00809667,0.004525587,0.088,0.003703448,0.3444,0.082,0.080966702,0.045,0.037
Season,None,Spring,Maximum_Intensity,0.013049412,8.29E-07,2006,3.74E-05,0.012507162,0.008250796,0.107,0.007684569,0.3004,0.130,0.125071616,0.083,0.077
Season,None,Spring,Cumulative_Intensity,0.320535955,2.09E-08,1996,6.97E-05,0.379677387,-0.050766904,0.767,0.491464415,0.0001,3.205,3.796773874,-0.508,4.915
Region,Arctic,None,Number_MHW_days,1.69038832,4.54E-07,2002,8.93E-06,2.041443973,-0.131188727,0.740,4.094350248,0.0026,16.904,20.41443973,-1.312,40.944
