Year,Season,REALM,Metrics,values
1982,Autumn,Arctic,meanCumInt,8.371193051771117
1982,Autumn,Arctic,meanMaxInt,0.8917600817438692
1982,Autumn,Arctic,meanDuration,16.197547683923705
1982,Autumn,Arctic,Number_Events,734
1982,Autumn,Central Indo-Pacific,meanCumInt,10.6383625
1982,Autumn,Central Indo-Pacific,meanMaxInt,1.7468446875
1982,Autumn,Central Indo-Pacific,meanDuration,7.490625
1982,Autumn,Central Indo-Pacific,Number_Events,320
1982,Autumn,Eastern Indo-Pacific,meanCumInt,12.2511375
1982,Autumn,Eastern Indo-Pacific,meanMaxInt,1.5270468750000001
1982,Autumn,Eastern Indo-Pacific,meanDuration,9.75
1982,Autumn,Eastern Indo-Pacific,Number_Events,32
1982,Autumn,Temperate Northern Atlantic,meanCumInt,17.488382595419846
1982,Autumn,Temperate Northern Atlantic,meanMaxInt,2.1250741984732824
1982,Autumn,Temperate Northern Atlantic,meanDuration,9.717557251908397
1982,Autumn,Temperate Northern Atlantic,Number_Events,655
1982,Autumn,Temperate Northern Pacific,meanCumInt,19.02804
1982,Autumn,Temperate Northern Pacific,meanMaxInt,2.19637
1982,Autumn,Temperate Northern Pacific,meanDuration,10.255
1982,Autumn,Temperate Northern Pacific,Number_Events,400
1982,Autumn,Tropical Atlantic,meanCumInt,8.21733
1982,Autumn,Tropical Atlantic,meanMaxInt,1.433583
1982,Autumn,Tropical Atlantic,meanDuration,7.14
1982,Autumn,Tropical Atlantic,Number_Events,100
1982,Autumn,Tropical Eastern Pacific,meanCumInt,17.478473188405797
1982,Autumn,Tropical Eastern Pacific,meanMaxInt,1.9115615942028985
1982,Autumn,Tropical Eastern Pacific,meanDuration,11.869565217391305
1982,Autumn,Tropical Eastern Pacific,Number_Events,138
1982,Autumn,Western Indo-Pacific,meanCumInt,11.914774820143885
1982,Autumn,Western Indo-Pacific,meanMaxInt,1.749570143884892
1982,Autumn,Western Indo-Pacific,meanDuration,8.510791366906474
1982,Autumn,Western Indo-Pacific,Number_Events,556
1982,Spring,Central Indo-Pacific,meanCumInt,12.32460819672131
1982,Spring,Central Indo-Pacific,meanMaxInt,1.7959581967213114
1982,Spring,Central Indo-Pacific,meanDuration,8.352459016393443
1982,Spring,Central Indo-Pacific,Number_Events,122
1982,Spring,Eastern Indo-Pacific,meanCumInt,15.043747317073171
1982,Spring,Eastern Indo-Pacific,meanMaxInt,1.6618068292682926
1982,Spring,Eastern Indo-Pacific,meanDuration,11.985365853658537
1982,Spring,Eastern Indo-Pacific,Number_Events,205
1982,Spring,Southern Ocean,meanCumInt,2.335320298879203
1982,Spring,Southern Ocean,meanMaxInt,0.23329128268991284
1982,Spring,Southern Ocean,meanDuration,13.244084682440846
1982,Spring,Southern Ocean,Number_Events,803
1982,Spring,Temperate Australasia,meanCumInt,14.45262283464567
1982,Spring,Temperate Australasia,meanMaxInt,1.7219732283464566
1982,Spring,Temperate Australasia,meanDuration,9.614173228346457
1982,Spring,Temperate Australasia,Number_Events,127
1982,Spring,Temperate South America,meanCumInt,19.99742032967033
1982,Spring,Temperate South America,meanMaxInt,1.876370879120879
