Scale,Region_Name,Season_Name,Metrics,Trend_Decadal,P_Value,Change_Point_Year,Trend_Decadal_pre,P_Value_pre,Trend_Decadal_post,P_Value_post,RatioPostPre
All,None,None,Number_MHW_days,11.6984824,6.87e-8,2001,1.388213549,0.58125476,28.87405094,1.26e-4,20.7994302899575
All,None,None,Nevents,0.743945613,4.65e-8,2001,0.2111227,0.144292055,0.993904081,0.002794388,4.707708271067015
All,None,None,Mean_Intensity,0.087556028,2.45e-7,1996,-0.007984432,0.7665253,0.078697412,0.006273132,-9.856356970664914
All,None,None,Maximum_Intensity,0.153522385,1.91e-7,2004,0.08420101,0.11305102,0.162929647,0.033909076,1.935008226148356
All,None,None,Cumulative_Intensity,19.72093969,2.62e-9,2001,5.545680675,0.085514806,40.54707068,4.57e-5,7.311468700819129
Season,None,Summer,Number_MHW_days,3.150077361,1.39e-8,2002,0.846338952,0.065473358,6.177181006,6.58e-4,7.298708149261691
Season,None,Summer,Nevents,0.202914049,2.09e-8,2001,0.073147335,0.074352905,0.279461011,0.001869082,3.8205221147154576
Season,None,Summer,Mean_Intensity,0.112422732,3.74e-6,2003,0.041086347,0.429795272,0.098921157,0.107542829,2.407640596522246
Season,None,Summer,Maximum_Intensity,0.194764859,1.89e-6,2003,0.044268017,0.498564387,0.252930261,0.020940934,5.713611725594124
Season,None,Summer,Cumulative_Intensity,7.033740642,5.31e-9,2002,1.704169039,0.085210083,13.7918432,1.13e-4,8.093001858602596
Season,None,Autumn,Number_MHW_days,3.71479506,4.01e-9,2001,0.629966155,0.229969078,8.9129692,2.58e-4,14.148330238471303
Season,None,Autumn,Nevents,0.223750359,1.83e-8,2000,0.05222876,0.29391717,0.335213069,3.07e-4,6.418170161420642
Season,None,Autumn,Mean_Intensity,0.083440565,5.22e-6,2005,0.049281842,0.096533829,0.012202543,0.836819705,0.2476072830232279
Season,None,Autumn,Maximum_Intensity,0.152423687,4.02e-7,2004,0.070205938,0.139144175,0.151517167,0.040815848,2.1581816483956104
Season,None,Autumn,Cumulative_Intensity,5.901279928,9.55e-10,2002,1.646122992,0.037197694,13.68147119,4.06e-4,8.31132986811474
Season,None,Winter,Number_MHW_days,2.656,1.91e-7,2004,0.525,0.342,9.488,0.004,18.07238095238095
Season,None,Winter,Nevents,0.192,4.54e-7,2001,0.022,0.626,0.248,0.0041,11.272727272727273
Season,None,Winter,Mean_Intensity,0.085,6.87e-8,1996,0.023,0.621,0.069,0.0136,3.0000000000000004
Season,None,Winter,Maximum_Intensity,0.135,5.3e-8,1996,0.01,0.843,0.124,0.0063,12.4
Season,None,Winter,Cumulative_Intensity,3.482,6.1e-9,1996,-0.902,0.428,5.846,0,-6.481152993348116
Season,None,Spring,Number_MHW_days,2.275,2.16e-7,2001,0.24,0.381,5.89,0.0015,24.541666666666668
Season,None,Spring,Nevents,0.148,3.14e-7,1996,-0.06,0.235,0.173,8e-4,-2.8833333333333333
Season,None,Spring,Mean_Intensity,0.082,5.12e-7,2006,0.045,0.088,0.037,0.3444,0.8222222222222222
Season,None,Spring,Maximum_Intensity,0.13,8.29e-7,2006,0.083,0.107,0.077,0.3004,0.927710843373494
Season,None,Spring,Cumulative_Intensity,3.205,2.09e-8,1996,-0.508,0.767,4.915,1e-4,-9.6751968503937
Region,Arctic,None,Number_MHW_days,16.904,4.54e-7,2002,-1.312,0.74,40.944,0.0026,-31.20731707317073
Region,Arctic,None,Nevents,0.69,1.54e-5,2001,-0.035,0.974,0.49,0.1742,-13.999999999999998
Region,Arctic,None,Mean_Intensity,0.2,5.12e-7,2006,0.133,0.01,0.004,0.9641,0.03007518796992481
Region,Arctic,None,Maximum_Intensity,0.329,4.02e-7,2006,0.179,0.01,0.078,0.8219,0.4357541899441341
